text,span,label,pred
This is one great place to eat pizza more out but not a good place for take-out pizza.,take-out pizza,negative,positive
"While they keep the capex to a minimum, they do put some cash into the bagels, because they among the best in the city.",capex,positive,neutral
"The cuisine from what I've gathered is authentic Taiwanese, though its very different from what I've been accustomed to in Taipei.",cuisine,neutral,positive
"Overall, the ingredients and technique are there and I am encouraged enough to return at lunch or dinner to see whether the boldness of the flavour palette improves.",ingredients,positive,neutral
"When you want a piece of beef, head on over.",beef,positive,neutral
Don't eat here unless you're starving for thai food and you work next door.,thai food,negative,neutral
"We had great desserts (including the best cannoli I've ever had) and then they offered an after dinner drink, on the house.",after dinner drink,positive,neutral
The service is a little scatty at times but all is forgiven when the food arrives.,service,negative,positive
Yes you have to wait to be seated and because its small there is no waiting area and the seat at the bar was all taken.,bar,neutral,negative
"We figured we never had Argentinian Pizza before so we grabbed our lunch there, sharing a large Pelligrino, a pizza of two of their specials, one was goat cheese the other blue cheese, and both were excellent.",Pelligrino,positive,neutral
"The cafe itself was really nice with comfortable outdoor chairs and tables, but the service could have been better.",service,negative,positive
They offer the same menu but have creative drinks that are loaded with alcohol and cheeky names -- but they do cost you.,drinks,positive,neutral
"Really though, where's the seasoning?",seasoning,negative,neutral
"It's like they took leftover chicken, poured oil and sprinkled pepper powder over it (the sauce was translucent and red).",sauce,negative,neutral
The food is nothing like its menu description.,food,negative,neutral
"Staffs are not that friendly, but the taste covers all.",Staffs,negative,positive
The last time I went we were seated at a table in a corridor next to the kitchen.,table,negative,neutral
Although they do the typical what kind of water would you like questions the service was good and overall very relaxing to place to eat.,place,positive,neutral
"I had the cod with paella (spicy and very filling, I'm a big eater and could only eat half) while my boyfriend had the classic fish and chips (again, a big serving - at least 5 pieces of fish and a basketful of fries).",serving,negative,neutral
The fish is fresh but the variety of fish is nothing out of ordinary.,variety of fish,negative,positive
"If your favorite Chinese food is General Tao chicken, then this is NOT your place.",Chinese food,neutral,negative
"A gentleman, maybe the manager, came to our table, and without so much as a smile or greeting asked for our order.",table,neutral,negative
"I had the cod with paella (spicy and very filling, I'm a big eater and could only eat half) while my boyfriend had the classic fish and chips (again, a big serving - at least 5 pieces of fish and a basketful of fries).",cod with paella,negative,neutral
"You will pay a lot for the decore, but the food is no better or worse than a lot of other Chinese and Asian fusion places in NY.",decore,negative,neutral
"We a menu that rearely changes,e xcept for one or two specials, the quality and care they put in thier food in evident.",care,positive,neutral
"To my right, the hostess stood over a busboy and hissed rapido, rapido as he tried to clear and re-set a table for six.",hostess,negative,neutral
"We started with lox and mussels (the best ive ever had, ever) and had the cod and trout for dinner.",mussels,positive,neutral
Ive asked a cart attendant for a lotus leaf wrapped rice and she replied back rice and just walked away.,rice,neutral,negative
"So I've never actually been to M proper, but I've had it delivered a few times.",delivered,neutral,negative
I ordered the crab cocktail and it was soaked in a lime juice concoction where all you could taste was the lime.,lime,neutral,negative
"It took half an hour to get our check, which was perfect since we could sit, have drinks and talk!",drinks,neutral,positive
"I didn't expect to like Nosh as much as I did, but the pastrami on challah sandwich I had was otherworldly, the soups are like Mom's, and the knishes give Yonah Schimmel's a run for its money.",pastrami on challah sandwich,positive,neutral
I have never had cheescake like this.,cheescake,positive,negative
As soon as my father lifted his pen from the check a chef appeared to usher us out.,chef,negative,neutral
